 

stn;time;tre200jx;rre150j0;sremaxdv
WAE;20100708;29.4;0.0;98
WAE;20100709;31.4;0.0;73
WAE;20100710;33.3;0.0;80
WAE;20100711;31.0;0.0;73
WAE;20100712;31.7;0.5;78
WAE;20100713;27.3;0.1;85
WAE;20100714;33.1;0.0;77
WAE;20100715;25.1;1.5;49
WAE;20100716;31.2;0.0;70
WAE;20100717;22.7;5.9;20
WAE;20100718;23.8;0.0;78
WAE;20100719;25.3;0.0;99
WAE;20100720;27.8;0.0;87
WAE;20100721;30.4;0.3;69
WAE;20100722;26.5;34.9;40
WAE;20100723;18.8;27.4;0
WAE;20100724;16.6;1.1;0
WAE;20100725;20.4;0.0;59
WAE;20100726;20.4;0.6;14
WAE;20100727;21.0;1.0;30
WAE;20100728;18.5;3.8;17
WAE;20100729;18.4;20.5;8
WAE;20100730;20.3;3.8;52
WAE;20100731;23.9;0.0;99
WAE;20100801;27.8;0.0;81
WAE;20100802;22.1;14.7;10
WAE;20100803;20.9;0.5;19
WAE;20100804;21.8;0.0;64
WAE;20100805;15.7;11.6;0
WAE;20100806;18.0;0.1;8
WAE;20100807;22.4;0.0;96
WAE;20100808;22.3;2.3;21
WAE;20100809;24.7;0.0;96
WAE;20100810;25.7;0.0;76
WAE;20100811;25.0;0.0;39
WAE;20100812;19.8;10.2;1
WAE;20100813;20.6;0.0;17
WAE;20100814;19.2;1.5;5
WAE;20100815;18.2;2.4;1
WAE;20100816;14.9;8.8;0
WAE;20100817;19.2;0.0;2
WAE;20100818;19.6;0.1;0
WAE;20100819;21.3;0.1;34
WAE;20100820;25.7;0.0;57
WAE;20100821;27.6;0.0;92
WAE;20100822;28.0;0.0;89
WAE;20100823;24.1;0.0;11
WAE;20100824;25.4;0.0;22
WAE;20100825;23.0;0.0;85
WAE;20100826;28.3;0.0;92
WAE;20100827;22.5;9.1;28
WAE;20100828;15.1;1.9;0
WAE;20100829;18.3;0.0;33
WAE;20100830;14.3;1.9;14
WAE;20100831;15.9;0.1;38
WAE;20100901;18.5;0.0;100
WAE;20100902;20.4;0.0;91
